reactants,product
Cc1ccccc1Cl.CCCCN.CN(C)c1ccc([P+]([Pd])([C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)cc1.CC(C)(C)[O-].[Na+],CCCCNc1ccccc1C
Cc1ccccc1Cl.NC1CCCCC1.CN(C)c1ccc([P+]([Pd])([C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)cc1.CC(C)(C)[O-].[Na+],Cc1ccccc1NC1CCCCC1
Cc1ccccc1Cl.CC(C)CN.CN(C)c1ccc([P+]([Pd])([C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)cc1.CC(C)(C)[O-].[Na+],Cc1ccccc1NCC(C)C
Cc1ccccc1Cl.NCCCc1ccccc1.CN(C)c1ccc([P+]([Pd])([C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)cc1.CC(C)(C)[O-].[Na+],Cc1ccccc1NCCCc1ccccc1
Cc1ccccc1Cl.Cc1ccc(N)cc1.CN(C)c1ccc([P+]([Pd])([C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)cc1.CC(C)(C)[O-].[Na+],Cc1ccc(Nc2ccccc2C)cc1
Cc1ccccc1Cl.Nc1ccc(F)cc1.CN(C)c1ccc([P+]([Pd])([C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)cc1.CC(C)(C)[O-].[Na+],Cc1ccccc1Nc1ccc(F)cc1
Cc1ccccc1Cl.Nc1ccc2ccccc2c1.CN(C)c1ccc([P+]([Pd])([C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)cc1.CC(C)(C)[O-].[Na+],Cc1ccccc1Nc1ccc2ccccc2c1
Cc1ccccc1Cl.COc1ccccc1N.CN(C)c1ccc([P+]([Pd])([C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)cc1.CC(C)(C)[O-].[Na+],COc1ccccc1Nc1ccccc1C
Cc1ccccc1Cl.Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1.CN(C)c1ccc([P+]([Pd])([C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)cc1.CC(C)(C)[O-].[Na+],Cc1ccccc1Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1
Cc1ccc(Cl)c(C)c1.CCCCN.CN(C)c1ccc([P+]([Pd])([C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)cc1.CC(C)(C)[O-].[Na+],CCCCNc1ccc(C)cc1C
